Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
,0.554416846,-0.114195823,,0,730,0.366160491,2.172099558,1.33768525,,2,Y,0,Category1,Option1,,11.62261482,Yes,High,cat
69,0.502379723,-0.354703879,C,,,0.021422962,3.17898733,-4.093091205,,3,Y,0,Category1,Option3,,10.69297147,Yes,Medium,cat
,0.861470851,1.225560655,,0,248,0.390580993,14.54266918,-1.378145133,,2,Z,1,Category1,Option2,6.125444306,5.923153379,Yes,High,
47,0.187342057,-0.846430225,B,0,,1.956019898,1.064081929,2.688590229,,3,X,1,Category3,Option2,,11.78210653,Yes,Medium,dog
,0.019240441,-1.000288402,,,,1.268870154,2.767296465,-0.46225166,5.912771297,6,X,0,Category1,Option3,12.06286132,11.17956044,Yes,Low,
82,0.770538842,-1.209638871,,,,0.111818614,0.847355256,-1.217641189,,3,X,0,Category2,Option1,9.226167251,6.380783423,No,,cat
,0.221392156,0.475403757,,0,,0.110750667,2.882429998,-4.647367293,,17,X,0,Category1,Option1,11.30532494,7.430411656,No,High,dog
88,0.113432354,0.255511909,A,,552,0.709580543,10.42369599,0.021349125,,6,X,0,Category2,Option4,11.78847568,5.845521048,Yes,High,dog
49,0.253333826,0.921538128,B,,636,0.906874767,3.96186412,1.812969597,,11,Z,1,Category1,Option2,11.32596078,14.42001127,Yes,Low,cat
,0.157421455,-2.008859483,A,0,585,0.062506484,3.928377416,0.468308029,,1,X,0,Category2,Option2,9.90172187,9.067795542,Yes,,dog
19,0.26506003,-0.046595994,C,,,1.694848719,4.312436504,-1.70238265,,9,Y,1,Category1,Option1,7.452578979,12.00053659,Yes,Low,
,0.089010151,0.407887511,C,0,,0.137426568,3.062546516,0.282778538,2.954839353,8,Z,0,Category1,Option1,,10.82191387,Yes,Low,
,0.481267005,0.637778699,,0,,2.1081421,7.160934456,2.039093114,,3,Z,0,Category1,Option2,12.83600882,10.05297361,No,High,
39,0.694147386,1.33959276,A,0,821,1.826530955,6.307828017,0.633112172,5.070308906,2,X,1,Category2,Option4,9.836248241,14.7628316,Yes,High,
,0.906372987,-1.817375289,,1,25,1.191751777,0.955213501,0.815518926,,9,X,0,Category1,Option1,12.25441304,11.61443805,Yes,Low,cat
,0.74542205,0.188666904,A,0,635,1.156959431,2.918021221,0.486311331,2.041999652,2,Y,1,Category2,Option2,,5.739190239,Yes,Low,cat
,0.108718551,0.491345998,B,,,0.804673779,7.026504093,-0.507505109,,8,X,1,Category1,Option1,,9.261293326,Yes,Medium,
57,0.535150633,0.291444738,B,0,881,0.584323387,0.760245503,1.013885918,,1,X,0,Category2,Option4,8.996172767,7.211147406,Yes,High,dog
32,0.079322148,-1.857559714,A,,746,1.135675233,7.797311907,-0.186921223,2.918766921,6,X,2,Category1,Option2,5.525559387,13.52383979,Yes,High,cat
31,0.572778765,0.592728351,,0,859,2.065336299,2.472702404,1.385716293,5.056309369,5,X,0,Category1,Option3,,5.54433963,Yes,Medium,dog
74,0.528350278,0.462554003,D,0,,0.23621782,1.616402564,2.630048963,,7,X,0,Category1,Option1,7.687296846,10.95388541,Yes,Medium,dog
,0.006517467,-0.406328516,D,0,79,1.279812911,4.033812634,1.497391051,,2,Y,0,Category2,Option1,9.662368784,10.75041239,No,High,
,0.75381328,0.024909266,B,1,285,0.219102428,1.975787591,0.361025952,,5,X,0,Category3,Option3,,7.137467812,Yes,Medium,
,0.641425054,0.140605752,A,,,2.261463882,1.222443185,-1.821004385,,5,Y,0,Category2,Option2,8.953973415,10.01450072,No,High,
55,0.453755056,0.353029105,B,1,,0.884826055,4.63501926,3.284975236,,3,Y,0,Category1,Option1,,13.19883188,Yes,Medium,
28,0.918966709,0.627645793,,,328,0.123020981,3.93190259,0.688859792,3.109062254,1,Y,0,Category2,Option1,10.60623719,5.570863907,No,Medium,cat
,0.452604776,0.679004846,C,0,,0.002222932,0.813585064,-0.647079333,5.044927887,9,X,0,Category1,Option2,,7.844328778,No,Low,dog
0,0.461103134,0.043251546,,,,0.627551702,2.943383416,1.265723904,7.023086079,2,X,1,Category3,Option3,9.835431097,6.949882035,Yes,Medium,
0,0.162696273,1.883987979,,1,358,1.035700233,7.842196069,0.694602811,5.892869002,3,Y,0,Category1,Option1,8.950566184,7.911708668,Yes,High,cat
,0.66490523,1.348020543,,,,3.460746362,2.451718466,-2.039747842,,9,Z,0,Category2,Option1,,12.75771047,Yes,High,cat
,0.168512531,0.691585324,,,784,0.452121037,0.31348956,1.072396527,3.823776301,4,X,0,Category2,Option4,,13.65759653,No,Low,
5,0.309637564,-0.449766865,C,0,,0.052709787,2.41402645,0.788451716,,1,X,0,Category1,Option4,,9.086341953,No,Medium,
,0.699191208,-1.131190447,D,1,,0.919831673,11.89629451,4.777304645,,2,X,1,Category1,Option3,11.75176052,10.09882845,Yes,Medium,some other
,0.306057922,-0.07172749,,,,0.183565121,0.530268481,-1.229998894,3.076254873,2,Y,0,Category1,Option2,8.994001104,12.12726766,No,High,
,0.602821541,-0.27912105,D,0,757,3.867272183,2.654674759,0.741423762,7.204954655,1,X,1,Category1,Option1,13.67279104,8.703247815,Yes,Low,
4,0.9767111,0.199517673,,0,443,0.490971092,5.07818461,0.934618632,,2,Y,0,Category1,Option4,,8.544436864,Yes,Low,cat
42,0.043118245,-0.633003137,A,0,,0.787342814,1.284737351,0.866820858,5.858204653,9,Y,2,Category2,Option2,11.01710318,6.659030148,Yes,High,cat
58,0.394207891,1.12268401,D,,,0.304653214,6.630532016,-1.652421362,,5,Z,1,Category3,Option1,,9.984164838,Yes,High,
31,0.899734862,-1.170684134,B,0,,2.363047696,2.303122901,-0.304427103,2.064496931,3,X,0,Category1,Option4,7.428565035,14.47412399,Yes,High,
1,0.589868123,-1.539887491,C,,720,0.075702049,2.309231686,-0.769992385,,1,Y,0,Category1,Option1,12.09408259,7.662895344,Yes,Low,
65,0.941775097,0.616945207,B,0,319,0.278703713,4.03493353,0.081840576,,2,X,0,Category1,Option1,7.808591638,11.28832535,Yes,High,
,0.950465015,1.563011543,B,0,442,0.041519366,3.552127356,-1.099182,6.950797114,3,Z,1,Category1,Option3,,5.567954547,Yes,Medium,
,0.827428254,-0.803172056,B,0,,2.817267274,2.551841478,-0.024737333,,2,Y,0,Category2,Option3,,7.339479787,Yes,,cat
35,0.34791934,-1.215922284,A,0,,0.434916866,0.421818119,3.631664834,,7,Z,0,Category1,Option1,10.44759833,8.128614879,Yes,Medium,dog
11,0.026721119,0.404411725,B,0,903,0.376350188,6.750441469,1.260096571,7.117394358,3,X,0,Category2,Option3,,10.1169839,Yes,High,dog
,0.953805859,-1.266446843,B,1,44,1.795846572,0.718590418,1.339874734,,1,X,0,Category1,Option3,7.894324457,13.37319375,Yes,Low,dog
82,0.204080587,2.074281055,C,0,310,2.153419856,6.561774798,1.157386806,,6,X,0,Category2,Option3,9.269558569,7.001991757,Yes,High,
,0.242581772,0.379375137,,0,,0.999983834,1.922410464,2.211173224,,1,Z,0,Category1,Option3,,12.79990512,Yes,High,cat
0,0.66590459,0.698470748,,,,1.978391766,6.349142315,1.515724431,,4,X,2,Category1,Option3,9.037854138,7.424927212,Yes,Low,
,0.702182475,1.689258429,C,0,702,2.929136755,4.21945672,1.209905924,,15,Y,0,Category3,Option2,,6.037400459,Yes,Low,some other
,0.959018364,-0.39081685,B,0,599,0.563815644,16.00183841,0.80709158,,1,Y,1,Category3,Option1,11.31071568,12.59140112,Yes,Medium,dog
,0.595266526,0.072632399,,0,,0.746338316,2.496112103,1.075564288,,5,X,1,Category1,Option2,12.72510936,14.43575586,Yes,High,
,0.440329956,-1.161405608,,0,848,0.204838683,5.490506683,-3.638969848,,1,X,1,Category3,Option4,,14.39837489,Yes,Low,dog
,0.124381331,0.243569251,B,0,922,2.243912332,9.418309879,0.770494595,,1,X,0,Category2,Option3,,10.08637899,No,Medium,
,0.85741034,0.155731112,,0,,1.005787041,3.892125008,0.698054216,,8,Z,1,Category1,Option3,11.28919245,10.50950479,Yes,Low,
75,0.044264855,-0.991410808,,0,,2.717228279,3.039460124,0.886022239,5.046573879,2,Z,0,Category1,Option1,13.02807381,9.17253674,Yes,Medium,
,0.852229115,1.097283948,B,,980,0.473486382,2.20823456,1.136776084,,24,Z,0,Category2,Option2,6.405547215,8.13377583,Yes,High,
,0.336313961,0.927621985,C,0,441,3.694358809,3.295972921,2.478662296,,12,Y,0,Category1,Option4,,13.14631701,Yes,High,cat
68,0.908029341,0.736330978,C,,610,0.826860725,5.808941502,0.658900615,4.925778228,1,X,0,Category1,Option1,12.43384396,9.991541932,Yes,,
47,0.850622833,1.931073521,B,,140,1.312113669,5.475833952,-0.272082505,9.011116507,5,Y,1,Category1,Option4,8.76089318,11.02037444,Yes,High,dog
3,0.698924761,-1.444677328,,1,888,1.003368135,1.138071702,-2.478797415,,2,Z,0,Category1,Option3,,11.28822035,Yes,Medium,
,0.021341383,0.436631554,B,,436,0.045841096,3.265443082,2.339671175,,3,Z,1,Category1,Option2,9.405160703,10.67816064,No,High,cat
,0.691665599,0.722252414,D,0,,0.32580662,0.947691774,-1.146951287,,1,Z,1,Category2,Option2,8.865584988,12.84135023,No,Medium,
78,0.561824944,1.24650693,C,0,,2.71973737,1.925032964,-1.711381474,6.003000826,1,X,2,Category2,Option3,9.808419121,10.76210011,Yes,Low,
,1.353971349,0.126108999,,1,-185.1527495,0.84207241,4.817926256,-0.310684303,4.966229204,2,Y,2,Category1,Option2,7.755377307,9.866194505,Yes,Medium,some other
20,0.576869786,-0.231884779,B,,193,0.099076126,7.574095401,3.229070226,,1,Y,0,Category1,Option2,11.66136158,9.335380743,Yes,Low,dog
,0.849543797,-0.770131459,,,453,1.01976136,2.749424435,1.09094944,2.203689023,5,Y,1,Category1,Option2,,11.44596662,Yes,Low,dog
58,0.210651624,-0.045574078,C,,885,0.482274896,10.65765499,0.968209578,5.07143365,6,X,0,Category1,Option4,9.339131133,12.71693201,Yes,Medium,some other
23,0.339648347,0.027727524,D,,483,1.715711392,3.98346802,0.38900821,5.139129491,3,X,0,Category1,Option4,,12.10537759,Yes,High,cat
79,0.088310822,0.878588554,,,941,0.248353416,2.826150129,-0.029840443,,2,Y,2,Category1,Option4,,11.28706116,Yes,Medium,dog
,0.778373954,-0.350479876,A,1,,5.229592956,1.244892818,-0.957187692,3.029207308,5,X,0,Category1,Option4,,5.077329621,Yes,Low,dog
,0.099343072,-1.057303559,A,0,178,1.594595976,11.75315162,0.677924875,6.042329582,6,X,0,Category1,Option2,,8.52902948,Yes,Medium,
48,0.911990471,-0.046356644,B,,555,0.071635564,6.417011369,1.051462142,,5,Z,2,Category1,Option4,,8.636810303,Yes,Low,some other
49,0.51085556,-0.190848458,A,0,112,0.245147051,1.363622696,-4.796008235,,6,Z,1,Category1,Option2,8.957367094,13.07935068,Yes,Low,
69,0.273252296,-0.782718197,,0,601,1.898065792,8.251728369,1.389980533,2.983015901,1,Z,0,Category1,Option1,,13.15411991,Yes,High,dog
,0.070026448,0.982641393,D,0,148,0.268401219,10.01125011,0.450966393,,1,Y,0,Category1,Option2,9.013007805,6.998733297,Yes,Medium,dog
,0.817790758,0.333204681,D,0,,4.044338635,2.683330655,-1.097777999,7.931700971,2,Z,0,Category1,Option4,,5.096617864,No,Medium,cat
64,0.392288617,-1.366043767,A,0,858,0.495381459,1.671426892,1.804633294,,2,Z,1,Category2,Option3,10.90055106,7.652227602,Yes,Low,cat
,0.884829163,-2.641194902,,0,441,0.007038624,7.614265336,0.398089992,,1,X,0,Category1,Option4,,10.93059907,Yes,High,cat
69,0.720551575,0.331134578,,,212,1.173708613,2.407295508,-3.785889089,,4,X,0,Category3,Option2,8.404269621,5.006121314,Yes,High,cat
,0.084154312,-1.63379117,D,,125,0.496706981,1.77005036,0.589737951,,3,Y,0,Category1,Option2,,5.167051136,Yes,Low,
0,0.772124993,-0.064695503,,,867,0.914310039,2.375563376,0.597075269,7.019121746,1,X,0,Category1,Option3,,12.58542382,Yes,Low,some other
50,0.822630246,0.59881466,,0,829,0.700729703,4.824246132,1.01542728,3.822268634,1,Y,1,Category1,Option2,8.806016527,8.597832621,Yes,High,cat
36,0.100185111,0.466621962,A,0,492,0.494245777,1.839664889,0.591902038,,8,X,1,Category2,Option2,12.32574094,12.28638228,Yes,High,cat
,0.670248373,2.14353515,A,,958,1.752222982,4.407792894,-3.07003089,4.98574382,4,X,0,Category1,Option4,11.63625936,12.34278323,Yes,Medium,
48,0.220981034,1.574473642,A,0,948,1.490624471,4.551382154,2.395077256,,6,Z,0,Category1,Option2,,7.503575529,Yes,High,some other
93,0.335351729,-1.035376572,A,,834,3.401639481,5.429737093,-2.742912767,5.983712224,8,X,0,Category1,Option3,8.6743717,9.316739041,No,Low,cat
,0.140406847,-1.817191185,,,,0.626113135,5.481659472,-0.182368807,4.12924762,11,Z,2,Category1,Option3,8.869454183,14.09719255,Yes,Low,some other
98,-0.456913167,-1.30664331,,0,838.1891719,0.382346802,2.725387876,-0.837835424,,1,X,2,Category1,Option3,,11.04409432,Yes,Medium,dog
,0.857506464,0.973809041,B,0,,1.470463874,7.195927999,0.441142953,,3,X,0,Category1,Option4,,9.725416881,Yes,Medium,cat
77,0.932882438,0.214872441,B,,,0.53765037,5.736904226,-4.504194006,8.937210806,1,Y,2,Category1,Option2,8.877461738,13.36679208,Yes,Low,
,0.7217726,0.290684416,A,,,0.052182883,13.59652413,1.266636019,,2,Z,1,Category1,Option3,10.442626,10.46827903,No,Low,
73,0.164377011,-0.479700723,C,0,,1.431429283,4.193823567,-1.592456182,,10,Y,1,Category1,Option2,7.097795334,11.01245001,Yes,High,dog
,0.00091292,-0.332683038,,,,0.68076361,5.308353484,-0.24719028,6.99359608,8,Y,1,Category2,Option1,,9.515492359,Yes,Low,cat
,0.363467152,-0.851947442,A,0,331,1.002777872,10.463783,-0.932976467,7.015673755,3,X,1,Category3,Option4,,13.7474696,Yes,Medium,some other
,0.545313994,0.494456055,C,,,2.286835042,,0.255615446,,7,Z,1,Category1,Option1,13.0366489,13.7580885,Yes,High,
58,0.416963454,0.948169694,A,,,0.243258387,0.397127834,3.922642975,,1,X,0,Category2,Option2,,10.25206799,Yes,,
,0.667559013,1.145432963,,0,413,0.028215688,,1.206425111,,24,Z,2,Category1,Option3,7.225601656,6.327436655,Yes,Medium,dog
59,0.278363393,-0.710842652,,0,,0.090522063,3.117080995,1.936715106,,9,Z,0,Category1,Option1,,13.59454538,No,High,cat
2,0.289952643,0.256320796,C,0,869,0.563018785,2.868696309,1.987047046,9.053050266,4,Y,1,Category1,Option1,9.542435786,14.35398029,Yes,,dog
,0.006060533,-0.029902407,B,,305,0.20363928,3.471011562,3.780227507,,2,X,2,Category1,Option4,,7.754468166,No,High,cat
62,0.641517297,-1.339849846,,0,644,0.897598061,5.732507619,0.630478471,,3,Y,0,Category1,Option2,11.28808919,13.91286717,No,High,
,0.845983873,0.522161361,,0,,1.446137941,3.346811048,0.074504579,,2,Y,2,Category1,Option2,,11.30736581,Yes,Low,cat
,0.916243045,0.152700428,D,0,,1.045437149,0.937268358,-1.87485133,,2,X,0,Category1,Option1,9.487594888,5.890910466,Yes,Low,cat
,0.587156514,0.935846169,A,1,,0.437311434,7.135658832,0.909278522,,2,Y,0,Category1,Option2,9.206716,7.774962985,Yes,Low,dog
,0.191653135,-0.208703138,,,377,0.553042656,5.632253642,-0.239205012,5.948796581,1,Z,1,Category1,Option2,6.477755019,11.32556247,No,,
,0.410321506,-0.820438969,,0,,0.114883295,3.632365259,-1.098905584,,1,Y,0,Category3,Option4,11.05444874,14.13801453,No,Low,cat
,0.357684351,0.453194415,D,0,398,1.987745049,0.774842691,0.041142964,,2,X,0,Category1,Option3,,7.387528501,Yes,,cat
20,0.05729148,-1.081156908,,,,1.660630898,5.482857597,0.560587095,,9,Z,0,Category1,Option1,13.88929762,12.40995375,Yes,Medium,dog
,0.014082689,-0.54825184,A,1,,0.640647417,6.847147134,1.653836599,7.006499858,1,Z,0,Category1,Option4,9.576333578,10.07917203,No,High,some other
,0.310541719,0.05597883,C,0,194,0.264863584,1.826717916,-0.492749428,4.945146553,4,Z,0,Category1,Option1,9.407793873,13.7935759,Yes,High,some other
27,0.709299488,-0.005837248,,0,,0.225668063,5.728709564,-1.919830232,,4,Z,0,Category1,Option1,,5.906162637,Yes,High,
14,0.502449344,-0.610024574,,,1542.976234,3.479286044,2.016865085,-0.52310999,,2,Z,0,Category2,Option2,,7.359977759,No,High,some other
41,0.765264584,0.489423629,,,,0.08783922,1.273969875,-0.004943787,,8,Z,0,Category2,Option4,14.93893593,12.55894028,Yes,Low,dog
,0.875235423,0.685627141,D,0,,4.97102417,3.260462386,2.343034759,,10,Z,2,Category3,Option2,,8.71236646,Yes,Low,cat
,0.948809261,-0.596010877,,0,,0.070569297,2.784976276,-2.324614114,3.072230025,1,Y,1,Category2,Option1,7.951002294,10.45883039,Yes,Medium,
,0.798122024,-0.573750114,D,,140,2.840161863,2.442496814,-1.788718611,4.8877065,2,Y,1,Category1,Option3,7.465379965,12.39368861,No,Low,cat
,0.040568114,-0.624742969,D,,172,1.859881867,5.739065112,2.060361638,,2,Z,1,Category1,Option2,9.360276612,13.60995447,Yes,Medium,cat
,0.968598611,0.905727905,,0,109,0.245195217,3.132438715,0.116394424,0.954457737,4,Z,0,Category1,Option1,12.46442,11.84997117,Yes,High,
43,0.314727799,0.747197293,,0,,1.728324128,9.025267592,-1.555536177,,4,X,0,Category1,Option2,10.60949727,11.65785869,Yes,High,cat
,0.883796821,-0.479359091,,,283,1.137674381,0.91594482,-0.363159713,4.025361355,6,Z,0,Category2,Option4,,9.698663475,No,Low,
,0.134412531,-0.805868251,,0,,0.013669163,4.937826122,-0.755654953,10.17263096,5,Z,0,Category1,Option1,,13.61627172,No,Low,cat
,0.6556943,-0.922707482,A,0,244,0.875690744,5.704082912,-0.337128794,6.906887406,11,X,0,Category1,Option4,,5.939846952,Yes,Low,
,0.321264734,0.641941302,,,739,0.047346897,4.08079491,-0.025104046,,3,Y,0,Category1,Option4,,5.224107882,Yes,High,
,0.794090342,1.827852072,B,,892,0.75318432,7.357365448,0.87566833,1.908770346,1,Y,1,Category1,Option2,10.94366422,10.27962579,Yes,High,dog
54,1.38849939,-0.368300301,,,-94.26043063,0.342758955,4.711265013,-0.060338134,,1,X,1,Category2,Option2,,8.836114831,Yes,High,cat
0,0.507945846,-0.331449197,B,0,,0.594298566,2.287984111,-1.68154568,,4,X,0,Category1,Option1,,6.608431045,Yes,Low,cat
,0.982058879,2.266259918,,,164,0.366616954,2.147531498,0.597161025,,2,Y,0,Category3,Option2,,6.690109976,Yes,High,cat
19,0.725624538,-0.490764203,C,0,,0.369893696,5.297578513,-1.109587518,3.005837904,2,Y,1,Category2,Option4,13.20752883,9.269959449,Yes,Medium,
46,0.127095348,-1.918495817,C,0,,0.515291005,0.794061545,1.417918764,,2,X,1,Category1,Option3,,5.669096248,Yes,Low,cat
,0.658217279,0.102551535,A,0,168,0.282965735,1.507054697,-0.873657651,9.136355262,2,X,0,Category1,Option1,14.76120614,10.70281655,No,High,dog
56,0.671396677,0.519619375,B,1,344,1.164073794,1.033468793,-2.078996287,,3,Z,2,Category1,Option2,9.249988444,8.045849479,Yes,Low,some other
,0.825781335,0.892296377,A,,459,0.180125288,0.725745957,3.225191913,2.923911871,8,X,0,Category1,Option2,,11.44947249,Yes,Medium,some other
,0.296731808,-1.124859427,,0,415,0.085786714,2.441597528,-1.598587793,3.837407436,1,X,0,Category2,Option4,9.001869629,9.739167171,Yes,Medium,cat
30,0.146820325,0.316085566,C,0,,0.047256002,4.457123235,0.07882748,7.03666646,11,Y,0,Category1,Option3,9.147924305,10.11295926,No,High,cat
,0.846714525,-1.333242133,,1,,0.005859338,8.332562903,-0.978430906,,6,Y,0,Category2,Option2,10.31364114,6.043855206,No,Low,dog
,0.364857313,-1.301196426,,1,280,0.22561116,2.065256086,1.012417998,,11,Y,0,Category2,Option1,,7.994640079,Yes,Low,cat
3,0.439274974,-0.293922152,,,790,1.167830144,4.597888779,0.330173504,3.016471092,5,X,0,Category1,Option4,14.41530895,7.396905309,No,Low,dog
94,-0.358453681,0.087516361,,0,-480.4085667,0.05549629,7.260319887,1.915679444,3.925824274,1,X,1,Category1,Option1,9.740631908,5.050107268,Yes,High,
,0.458491162,0.149325441,,,,2.059255911,5.838071057,0.011102732,,1,X,1,Category1,Option1,8.976837148,8.432956165,Yes,Low,cat
,0.081613888,-0.647295671,,,930,1.012517317,8.130783059,-3.597087268,,3,Z,0,Category1,Option1,9.852431147,7.80784765,Yes,Low,
,0.661027976,0.301433057,C,,925,2.443243016,4.459491925,-1.709490943,,4,X,0,Category2,Option2,12.54899691,5.637283637,Yes,Low,
72,0.71677891,0.371058739,,0,722,0.024292056,2.438464252,-0.573070992,,2,X,1,Category2,Option1,7.47042161,12.03826151,Yes,Medium,cat
,1.045149808,-0.507526597,,,-493.7528653,1.142936892,5.524155907,1.7733763,,1,Z,1,Category1,Option3,10.34393206,12.51213969,Yes,Low,dog
95,0.703015153,0.588349316,A,0,202,4.277222589,0.538675937,-0.589273179,6.842019042,1,X,1,Category2,Option4,8.111158369,5.480642362,No,High,dog
72,0.396085209,0.524483625,,0,550,0.47285211,0.242085992,-0.66481857,,1,Y,0,Category1,Option2,10.82129204,6.475454599,No,Medium,
,0.900646871,-0.884440416,A,,,0.555058968,1.096461617,-0.478596504,8.964239576,5,X,0,Category2,Option4,,10.61392958,Yes,High,cat
66,0.770596582,-1.451588778,,,590,1.67820985,1.851995099,0.361516979,8.033807389,1,X,1,Category1,Option4,8.879870566,9.02476968,Yes,Low,cat
52,0.279309869,0.393670376,D,0,472,0.476693282,0.360332083,-0.851841383,,1,X,0,Category1,Option1,10.60109989,5.804530949,No,Low,cat
67,0.4721517,-0.122342054,A,,751,1.786493289,3.663729071,-2.494713809,0.934775125,2,X,1,Category1,Option2,,8.38777429,Yes,High,dog
,0.722199733,0.501156216,,,,0.922198835,1.284014424,-1.215787968,,1,Y,1,Category1,Option4,5.609526828,13.99720609,Yes,Medium,some other
14,0.53417475,1.524112254,,,,0.517039486,3.882203248,0.208005141,5.050498285,3,X,2,Category1,Option1,,5.178183192,Yes,Medium,cat
,0.519939793,0.385924686,D,1,,0.157782092,5.850427452,-1.980217202,3.957127413,3,Z,1,Category2,Option1,,14.41691721,Yes,Low,
,0.842538554,0.877819304,,,590,3.209244291,5.12471331,-0.072853921,,7,X,0,Category1,Option2,10.75337294,7.130028969,Yes,Low,dog
67,0.652703132,1.012275022,D,0,367,0.292345117,1.003373472,-0.778396073,5.034948202,8,Z,1,Category1,Option2,10.64120973,8.648904673,Yes,,
11,0.940471068,0.307773264,A,,123,0.249159286,3.659940112,1.5909421,6.035950737,14,X,0,Category1,Option2,,14.89797551,Yes,High,
,0.271586152,-0.706494973,B,0,996,0.0857868,7.476823883,1.618269381,3.046190271,2,Y,1,Category3,Option4,,7.368416495,Yes,Low,cat
77,0.099732763,0.347093165,,,863,0.985896064,2.52685683,-2.340069319,,9,Z,1,Category1,Option3,9.286719135,13.71241042,Yes,Low,cat
75,1.43057075,-0.635756743,C,0,51.49351764,0.480897375,1.937947881,1.193604747,,24,Y,1,Category1,Option3,,6.359800435,Yes,Low,
56,0.189827694,-1.635904627,A,,,0.135289997,1.359730303,0.553318353,7.976082243,5,Z,0,Category1,Option2,8.636216405,10.38868005,No,High,dog
